Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Josh Smith,Male,22,42.0,25.86,5.23,1.68,6.91,3.68,1.59,0.09,0.0,2.45,0.0,4.36,8.45,23.32,0.362,5.64,13.09,0.431,2.82,10.23,0.276,6.14,8.73,0.703
Kevin Benn,Male,23,42.78,21.0,10.83,6.65,17.48,1.78,0.7,0.83,0.91,4.04,6.04,5.0,8.83,14.48,0.61,8.83,14.43,0.612,0.0,0.04,0.0,3.35,7.13,0.47
Kevin Probert,Male,2,45.5,22.5,4.0,1.0,5.0,5.5,4.5,0.5,0.0,3.0,0.0,4.5,6.0,16.0,0.375,4.0,8.5,0.471,2.0,7.5,0.267,8.5,12.0,0.708
Lee Jeka,Male,22,45.14,30.86,4.91,2.0,6.91,4.95,1.86,0.09,0.0,1.55,0.0,4.73,13.59,31.59,0.43,10.64,23.05,0.462,2.95,8.55,0.345,4.82,6.59,0.731
Luke Cooper,Male,10,42.4,15.3,3.8,1.6,5.4,8.8,2.5,0.1,0.0,1.9,0.0,5.3,5.1,11.4,0.447,4.2,7.6,0.553,0.9,3.8,0.237,4.2,6.7,0.627
Luke Goldstein,Male,1,42.0,26.0,14.0,3.0,17.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,10.0,19.0,0.526,10.0,19.0,0.526,0.0,0.0,,6.0,12.0,0.5
Luke Mcmillan,Male,44,42.73,29.11,7.43,2.66,10.09,2.0,0.41,1.5,0.45,2.66,3.18,2.75,10.7,20.77,0.515,9.27,16.86,0.55,1.43,3.91,0.366,6.27,8.32,0.754
Marcus Johnson,Male,24,42.88,24.38,4.04,1.04,5.08,2.54,1.54,0.42,0.0,2.79,0.0,4.54,9.17,18.75,0.489,7.71,14.17,0.544,1.46,4.58,0.319,4.58,6.25,0.733
Matthew Gange,Male,26,43.19,24.12,6.08,2.27,8.35,3.08,1.81,0.31,0.0,2.19,0.0,3.46,8.58,19.04,0.451,5.38,11.15,0.483,3.19,7.88,0.405,3.77,5.04,0.748
Michelle Betson,Female,20,42.05,16.85,4.95,2.25,7.2,2.35,2.55,0.1,0.0,4.25,0.0,4.6,6.45,18.3,0.352,5.7,14.5,0.393,0.75,3.8,0.197,4.7,7.65,0.614
Mick Hill,Male,43,43.86,34.84,6.47,2.0,8.47,6.02,2.07,0.23,0.0,3.49,0.0,5.02,14.53,31.05,0.468,11.58,23.05,0.502,2.95,8.0,0.369,5.98,7.84,0.763
Mike Spears,Male,22,43.0,23.91,8.36,4.5,12.86,1.95,2.05,2.55,0.0,3.5,0.0,2.82,9.68,20.32,0.476,9.55,19.68,0.485,0.14,0.64,0.219,4.41,6.14,0.718
Mitchell Creek,Male,2,43.5,31.5,9.0,7.0,16.0,4.5,1.0,1.0,1.0,3.5,7.5,6.5,13.5,23.0,0.587,13.5,22.5,0.6,0.0,0.5,0.0,4.5,9.5,0.474
