Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Kate Legg,Female,56,1652,578,399,182,581,93,89,91,0,180,0,153,241,571,42.2,241,567,42.5,0,4,0.0,96,157,61.1
Kate Mahoney,Female,202,5582,1745,469,220,689,407,333,30,41,447,330,679,644,2105,30.6,454,1397,32.5,190,708,26.8,321,558,57.5
Kate Malloch,Female,21,189,35,25,26,51,6,4,3,4,26,12,19,11,39,28.2,11,39,28.2,0,0,0.0,13,19,68.4
Kate Mccrimmon,Female,120,2194,405,234,164,398,152,175,29,25,228,124,168,170,602,28.2,162,553,29.3,8,49,16.3,57,97,58.8
Kate Mcmurray,Female,45,882,188,68,48,116,54,35,4,0,57,0,97,80,370,21.6,61,248,24.6,19,122,15.6,47,78,60.3
Kate Miler,Female,1,8,0,1,1,2,0,0,0,0,2,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Kate Miller,Female,165,3291,1006,585,379,964,122,90,84,75,342,232,310,403,1153,35.0,402,1144,35.1,1,9,11.1,199,352,56.5
Kate Mitchell,Female,73,1781,499,270,148,418,115,53,32,4,232,2,200,211,713,29.6,185,596,31.0,26,117,22.2,103,146,70.5
Kate O'Connor,Female,1,12,2,1,0,1,1,0,0,0,1,0,2,1,6,16.7,1,4,25.0,0,2,0.0,0,0,0.0
Kate Oliver,Female,41,1433,755,272,107,379,68,63,47,19,111,112,96,310,718,43.2,268,596,45.0,42,122,34.4,95,116,81.9
Kate Perlstein,Female,90,2001,648,240,100,340,155,199,9,6,149,31,249,280,833,33.6,266,769,34.6,14,64,21.9,88,127,69.3
Kate Pratt,Female,37,935,309,97,59,156,39,25,14,0,95,0,108,139,567,24.5,117,436,26.8,22,131,16.8,33,63,52.4
Kate Richardson,Female,61,1272,482,153,144,297,48,63,7,18,151,56,194,186,598,31.1,160,516,31.0,26,82,31.7,130,228,57.0
Kate Robertson,Female,14,221,84,6,5,11,8,13,0,0,8,0,15,30,97,30.9,11,33,33.3,19,64,29.7,5,8,62.5
Kate Robson,Female,5,112,19,19,9,28,4,2,2,0,6,0,8,5,24,20.8,3,16,18.8,2,8,25.0,7,14,50.0
Kate Scott,Female,65,746,250,218,140,358,14,20,34,15,66,135,77,96,259,37.1,96,258,37.2,0,1,0.0,58,149,38.9
