Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Sharon Fedke,Female,23,43.0,16.65,6.1,1.28,7.37,1.06,1.82,0.94,0.0,2.3,0.0,2.03,7.79,22.6,0.345,6.7,18.26,0.367,1.1,4.34,0.253,2.16,2.79,0.774
Shaun Bruce,Male,23,42.48,19.41,3.65,1.29,4.94,3.32,1.05,0.4,0.28,2.27,3.26,2.21,7.61,17.59,0.433,6.57,13.51,0.486,1.05,4.08,0.257,3.13,4.39,0.713
Taylor Bell,Male,5,41.8,20.67,5.45,1.0,6.46,0.72,0.43,1.15,0.0,2.87,0.0,3.01,7.32,14.35,0.51,4.88,10.05,0.486,2.44,4.31,0.566,3.59,7.18,0.5
Terrence Watkins,Male,24,42.54,18.28,6.67,2.64,9.32,1.56,1.0,0.68,0.0,1.88,0.0,2.41,8.9,17.83,0.499,7.11,14.37,0.495,1.79,3.47,0.516,2.76,3.7,0.746
Thomas Burns,Male,59,43.58,15.26,3.86,1.19,5.05,4.03,1.6,0.28,0.0,2.01,0.0,3.44,5.34,13.2,0.405,4.43,10.0,0.443,0.91,3.19,0.285,4.13,6.03,0.685
Tim Ireland,Male,2,42.0,10.0,2.14,0.36,2.5,2.5,1.43,0.36,0.0,2.5,0.0,3.21,3.21,9.64,0.333,3.21,8.21,0.391,0.0,1.43,0.0,3.57,5.71,0.625
Tim Pickert,Male,24,42.38,15.78,2.1,1.18,3.27,2.27,1.09,0.15,0.35,1.89,3.36,2.24,5.28,12.98,0.407,3.45,7.16,0.482,1.83,5.81,0.315,3.39,4.52,0.75
Timothy Gainey,Male,35,45.17,14.29,5.35,2.35,7.7,1.4,0.87,1.27,0.6,2.32,3.04,2.81,5.14,13.17,0.39,3.7,8.67,0.427,1.44,4.5,0.32,2.56,3.41,0.751
Tommy Walsh,Male,23,42.3,13.11,2.19,1.51,3.7,1.54,0.92,0.16,0.34,2.01,1.51,1.72,4.96,13.17,0.377,3.11,7.37,0.422,1.85,5.79,0.32,1.33,2.01,0.662
Tony Burke,Male,18,41.83,16.06,3.43,1.99,5.42,1.84,0.4,0.36,0.36,2.79,2.43,2.19,6.38,16.22,0.393,5.62,12.55,0.448,0.76,3.66,0.208,2.55,3.82,0.668
Tracy Tuesley,Female,2,43.5,8.62,7.24,6.55,13.79,0.0,2.76,0.34,0.0,3.1,0.0,6.21,4.14,10.34,0.4,4.14,10.0,0.414,0.0,0.34,0.0,0.34,1.38,0.246
Travis Banko,Male,20,44.7,16.91,2.62,1.14,3.76,3.09,1.58,0.07,0.0,1.88,0.0,4.9,6.98,16.85,0.414,6.11,13.76,0.444,0.87,3.09,0.282,3.83,5.17,0.741
Vashon Weaver,Male,76,43.53,15.83,4.13,1.7,5.83,3.41,1.09,0.35,0.09,2.32,0.98,3.62,5.94,14.36,0.414,5.27,11.51,0.458,0.67,2.85,0.235,3.5,5.24,0.668
Warren Estcourt,Male,1,45.0,2.0,5.33,0.0,5.33,4.67,0.0,0.0,0.0,2.0,0.0,1.33,8.0,21.33,0.375,1.33,6.0,0.222,6.67,15.33,0.435,3.33,4.0,0.832
Willie Weimer,Male,24,42.12,12.08,3.08,1.27,4.36,2.7,0.83,0.15,0.0,2.52,0.0,3.21,4.51,11.75,0.384,2.93,6.97,0.42,1.57,4.78,0.328,1.48,2.29,0.646
