Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Bobby Cunningham,Sandringham,SCM 2005,Championship Men,Senior,Male,2005,0.833333333333333,28,40.6,11.3,5.2,1.2,6.4,6.1,2.6,0.4,0.0,2.6,0.0,3.7,3.8,9.3,40.9,2.1,4.1,51.2,1.8,5.2,34.6,1.9,2.5,76.0
Luke Jarosz,Wyndham,YL1M 2005,Victorian Youth Championship Men,Youth,Male,2005,0.833333333333333,11,40.5,2.6,5.5,2.2,7.7,3.0,1.5,0.7,0.0,1.9,0.0,2.4,0.7,4.4,15.9,0.2,0.9,22.2,0.5,3.6,13.9,0.5,1.6,31.2
Ashley Arnott,Dandenong,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333333333,19,40.5,10.1,4.2,0.7,5.0,4.7,1.3,0.1,0.0,2.0,0.0,2.7,3.5,8.6,40.7,1.4,3.5,40.0,2.0,5.1,39.2,1.2,1.7,70.6
Luke Mcmillan,Melbourne,SCM 2004,Championship Men,Senior,Male,2004,0.833333333333333,24,40.5,19.1,4.4,2.2,6.7,2.1,0.4,0.6,0.0,1.7,0.0,2.3,7.8,14.3,54.5,7.3,13.2,55.3,0.4,1.1,36.4,4.0,5.9,67.8
Taylor Bell,Bendigo,YL1M 2006,Victorian Youth Championship Men,Youth,Male,2006,0.833333333333333,14,40.5,18.6,6.7,1.9,8.7,1.4,0.5,1.3,0.0,3.0,0.0,2.4,7.3,16.4,44.5,6.5,13.8,47.1,0.7,2.6,26.9,3.3,6.6,50.0
Anthony Richardson,Darebin,Division Three Men,Division 3 Men,Senior,Male,2007,0.833333333333333,2,40.5,17.4,7.8,4.4,12.2,1.5,0.4,1.1,0.0,3.7,0.0,1.9,7.0,15.2,46.1,7.0,15.2,46.1,0.0,0.0,0.0,3.3,5.6,58.9
Pierre Jallow,Hume City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333333333,16,40.5,17.3,6.5,3.6,10.1,1.2,0.6,1.0,0.0,3.1,0.0,2.7,6.8,13.2,51.5,6.0,10.7,56.1,0.9,2.5,36.0,2.8,4.3,65.1
Marc Goodwin,Latrobe City,YL2M 2008,Youth League 1 Men,Youth,Male,2008,0.833333333333333,24,40.5,16.8,3.9,1.9,5.7,3.0,1.4,0.4,0.1,2.0,3.4,2.1,5.9,13.9,42.4,4.0,8.1,49.4,2.0,5.8,34.5,3.0,4.4,68.2
Jason Spratt,Mildura,Division One Men,Division 1 Men,Senior,Male,2008,0.833333333333333,20,40.5,14.2,3.3,1.0,4.4,2.7,0.7,0.1,0.6,2.2,3.0,2.8,4.4,12.0,36.7,2.3,5.9,39.0,2.1,6.2,33.9,3.3,4.3,76.7
Mark Rizza,Sunbury,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333333333,25,40.5,18.4,3.6,1.3,4.9,3.5,1.5,0.3,0.4,1.3,2.4,3.6,7.1,15.6,45.5,5.1,10.2,50.0,2.0,5.3,37.7,2.2,3.3,66.7
Nathan Taylor,Ringwood,SCM 2003,Championship Men,Senior,Male,2003,0.833333333333333,23,40.5,13.6,6.1,2.0,8.1,2.9,0.5,0.4,0.0,2.2,0.0,2.4,5.9,13.1,45.0,5.1,10.7,47.7,0.7,2.4,29.2,2.6,3.3,78.8
Curtis Small,Warrnambool,SCM 2003,Championship Men,Senior,Male,2003,0.833333333333333,22,40.5,19.9,2.1,0.7,2.8,2.7,1.0,0.1,0.0,1.9,0.0,2.4,11.0,26.9,40.9,7.9,17.9,44.1,3.1,9.0,34.4,0.9,1.2,75.0
Andrew Oliver,Bulleen,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333333333,20,40.4,13.3,8.5,4.0,12.5,1.8,1.5,0.9,0.0,2.8,0.0,3.0,5.5,11.6,47.4,5.5,11.6,47.4,0.0,0.1,0.0,2.3,6.2,37.1
Michael Reece,Keysborough,Division Three Men,Division 3 Men,Senior,Male,2009,0.833333333333333,18,40.4,11.6,2.5,0.7,3.2,2.2,1.0,0.1,0.3,2.0,1.8,2.7,4.0,12.3,32.5,2.4,6.4,37.5,1.6,5.9,27.1,1.9,2.7,70.4
Paul Phillips,Latrobe City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333333333,19,40.4,10.8,5.6,2.5,8.0,0.9,0.8,0.4,0.0,2.7,0.0,2.1,4.8,10.9,44.0,4.8,10.9,44.0,0.0,0.1,0.0,1.1,3.0,36.7
Sarah Liebelt,Warrnambool,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333333333,22,40.4,10.2,7.0,1.4,8.3,3.3,2.4,0.7,0.0,2.5,0.0,4.1,4.3,11.1,38.7,3.5,8.7,40.2,0.8,2.5,32.0,2.5,3.8,65.8
Simon Vannapraseuth,Latrobe City,YL2M 2007,Youth League 1 Men,Youth,Male,2007,0.833333333333333,20,40.4,10.2,3.0,1.7,4.7,3.1,0.8,0.1,0.0,1.5,0.0,2.8,3.9,10.5,37.1,3.9,10.0,39.0,0.1,0.6,16.7,2.4,4.1,58.5
Nathan Marsh,Wyndham,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333333333,24,40.4,14.0,7.1,4.9,12.0,1.7,1.8,1.4,0.0,2.6,0.0,2.6,5.6,12.9,43.4,5.6,12.8,43.7,0.0,0.1,0.0,2.8,4.5,62.2
Paul Fridman,Maccabi,D2M 2005,Division 2 Men,Senior,Male,2005,0.833333333333333,17,40.4,9.1,3.2,0.9,4.1,6.8,2.6,0.1,0.0,2.1,0.0,4.2,2.7,9.7,27.8,1.0,2.7,37.0,1.6,7.0,22.9,2.2,3.1,71.0
Greg Smith,Hume City,SCM 2008,Championship Men,Senior,Male,2008,0.833333333333333,21,40.3,7.7,3.2,1.0,4.2,4.1,1.0,0.2,0.4,2.4,2.4,3.0,2.6,8.0,32.5,1.8,4.5,40.0,0.8,3.4,23.5,1.6,2.7,59.3
Corey Savage,Frankston,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333333333,3,40.3,10.9,4.2,0.5,4.7,2.0,1.7,1.0,0.0,2.0,0.0,4.5,3.9,13.9,28.1,3.0,9.5,31.6,1.0,4.5,22.2,3.9,6.0,65.0
Shawn King,Sherbrooke,SCM 2003,Championship Men,Senior,Male,2003,0.833333333333333,3,40.3,10.6,5.7,2.5,8.2,4.2,0.7,0.5,0.0,3.7,0.0,2.2,5.7,12.9,44.2,4.7,9.9,47.5,1.0,3.0,33.3,0.2,1.3,15.4
Jason Lewis,Melton,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333333333,24,40.3,23.0,9.9,6.1,16.0,1.6,1.0,0.4,0.0,2.4,0.0,2.7,9.8,18.5,53.0,9.8,18.0,54.4,0.1,0.4,25.0,3.3,4.8,68.8
Vashon Weaver,Latrobe City,SCM 2005,Championship Men,Senior,Male,2005,0.833333333333333,24,40.3,16.2,3.6,2.2,5.7,2.4,0.4,0.4,0.0,2.4,0.0,3.7,6.0,13.4,44.8,5.4,11.1,48.6,0.6,2.3,26.1,3.6,6.0,60.0
Thomas Burns,McKinnon,Division Three Men,Division 3 Men,Senior,Male,2007,0.833333333333333,24,40.3,14.8,3.9,1.5,5.4,3.9,2.1,0.1,0.0,1.9,0.0,3.1,4.8,11.9,40.3,3.8,8.3,45.8,1.1,3.6,30.6,3.9,5.7,68.4
Jay Allen,Hawthorn,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333333333,19,40.3,17.6,2.7,1.3,3.9,3.8,1.3,0.6,0.0,1.9,0.0,3.4,8.4,23.0,36.5,6.3,16.2,38.9,2.2,6.8,32.4,3.1,4.2,73.8
Daryl Corletto,Melbourne,SCM 2007,Championship Men,Senior,Male,2007,0.833333333333333,19,40.3,17.3,3.5,0.6,4.1,4.4,0.7,0.1,0.0,1.2,0.0,2.0,6.0,14.1,42.6,2.9,6.5,44.6,3.1,7.7,40.3,2.2,2.3,95.7
Tommy Greer,Melbourne,SCM 2008,Championship Men,Senior,Male,2008,0.833333333333333,23,40.3,16.7,5.9,3.6,9.5,1.5,1.1,0.4,0.5,2.4,3.1,1.3,6.5,13.1,49.6,5.2,10.2,51.0,1.3,2.9,44.8,2.5,3.7,67.6
Matthew Bartlett,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333333333,20,40.2,13.1,2.6,0.7,3.4,2.7,1.9,0.0,0.0,2.4,0.0,3.3,4.6,11.8,39.0,2.4,5.8,41.4,2.2,5.9,37.3,1.5,2.4,62.5
Matthew Willmott,Southern Peninsula,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333333333,20,40.2,11.3,2.5,1.3,3.9,3.1,0.9,0.1,0.0,2.2,0.0,2.2,3.7,11.0,33.6,1.6,3.9,41.0,2.1,7.1,29.6,1.9,2.3,82.6
Bryan Short,Hume City,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333333333,24,40.2,14.9,3.0,1.3,4.3,4.1,1.6,0.1,0.0,0.8,0.0,1.9,6.7,17.5,38.3,5.0,12.7,39.4,1.7,4.8,35.4,3.1,4.3,72.1
Chris Hogan,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333333333,10,40.2,18.0,6.8,3.1,9.9,1.3,0.6,0.7,0.0,2.2,0.0,3.0,6.9,17.3,39.9,5.4,12.5,43.2,1.5,4.8,31.2,2.6,3.4,76.5
Vladimir Tankov,Keysborough,Division Three Men,Division 3 Men,Senior,Male,2009,0.833333333333333,20,40.2,17.6,9.5,3.1,12.7,2.4,1.3,1.1,0.4,3.0,4.2,3.5,6.3,15.2,41.4,4.8,11.0,43.6,1.6,4.3,37.2,3.3,4.9,67.3
Andrew Walter,Blackburn,SCM 2004,Championship Men,Senior,Male,2004,0.833333333333333,22,40.2,19.3,2.1,0.8,2.9,3.4,2.1,0.2,0.0,3.0,0.0,3.6,9.5,23.7,40.1,7.2,16.8,42.9,2.3,6.9,33.3,2.6,3.5,74.3
Brad Collins,Hume City,SCM 2004,Championship Men,Senior,Male,2004,0.833333333333333,25,40.2,14.6,3.5,1.4,4.9,3.2,1.0,0.1,0.0,1.6,0.0,2.1,7.5,16.6,45.2,5.2,11.5,45.2,2.2,5.1,43.1,1.8,2.2,81.8
James Tsun,Maccabi,Division Two Men,Division 2 Men,Senior,Male,2006,0.833333333333333,24,40.1,9.7,3.0,0.6,3.5,2.8,1.0,0.1,0.0,1.6,0.0,3.0,3.4,11.2,30.4,1.6,4.3,37.2,1.7,6.8,25.0,1.3,1.7,76.5
David Wilson,Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333333333,25,40.1,10.0,4.3,2.8,7.1,1.1,0.9,0.6,0.0,2.2,0.0,1.6,3.8,7.7,49.4,3.7,7.3,50.7,0.1,0.4,25.0,2.2,3.0,73.3
Daniel Martin,Keilor,Youth League 2 Men,Youth League 1 Men,Youth,Male,2009,0.833333333333333,18,40.1,7.0,3.6,1.0,4.6,3.1,1.0,0.1,0.1,1.6,3.3,3.1,2.0,7.0,28.6,1.4,4.5,31.1,0.6,2.5,24.0,2.4,4.0,60.0
Belinda Mascitti,Shepparton,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333333333,22,40.1,14.1,3.7,2.2,5.9,1.5,2.2,0.7,0.0,3.0,0.0,2.2,6.3,16.1,39.1,4.8,11.7,41.0,1.5,4.4,34.1,3.0,4.9,61.2
Matthew Snow,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333333333,22,40.1,9.8,3.9,0.9,4.8,4.3,0.7,0.3,0.1,1.6,2.3,2.1,3.2,8.0,40.0,1.9,4.4,43.2,1.2,3.7,32.4,2.2,3.0,73.3
Desiree Glaubitz,Ballarat,Championship Women 2002,Championship Women,Senior,Female,2002,0.833333333333333,28,40.1,16.8,3.7,1.8,5.5,3.2,1.8,0.5,0.0,2.2,0.0,2.1,8.2,15.6,52.6,6.3,11.7,53.8,1.9,3.7,51.4,2.3,2.8,82.1
