Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Daryl Corletto,Melbourne,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,16,42.06,16.85,3.43,0.58,4.01,2.94,0.85,0.04,0.0,1.11,0.0,1.74,6.24,15.38,0.406,3.92,8.16,0.48,2.32,7.22,0.321,2.05,2.85,0.719
Michelle Betson,Sunbury,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333,20,42.05,12.02,3.53,1.61,5.14,1.68,1.82,0.07,0.0,3.03,0.0,3.28,4.6,13.06,0.352,4.07,10.34,0.394,0.54,2.71,0.199,3.35,5.46,0.614
Jonathon Lee,Bulleen,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,42.04,11.27,2.5,0.71,3.21,3.63,1.93,0.09,0.0,1.93,0.0,3.27,4.31,11.6,0.372,3.75,9.33,0.402,0.56,2.26,0.248,2.08,3.42,0.608
Luke Goldstein,Maccabi,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,42.0,18.57,10.0,2.14,12.14,1.43,0.0,0.0,0.0,4.29,0.0,2.86,7.14,13.57,0.526,7.14,13.57,0.526,0.0,0.0,,4.29,8.57,0.501
Josh Smith,Bulleen,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,22,42.0,18.47,3.74,1.2,4.94,2.63,1.14,0.06,0.0,1.75,0.0,3.11,6.04,16.66,0.363,4.03,9.35,0.431,2.01,7.31,0.275,4.39,6.24,0.704
Tim Ireland,Hume City,Youth League 2 Men,Youth League 1 Men,Youth,Male,2006,0.833333333,2,42.0,10.0,2.14,0.36,2.5,2.5,1.43,0.36,0.0,2.5,0.0,3.21,3.21,9.64,0.333,3.21,8.21,0.391,0.0,1.43,0.0,3.57,5.71,0.625
Harry White,Oakleigh,Division Two Men,Division 2 Men,Senior,Male,2015,1.0,1,42.0,2.14,1.43,2.14,3.57,0.71,1.43,0.0,0.0,3.57,2.86,3.57,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.0,,2.14,2.86,0.748
Peter Leimonitis,Coburg,VBL Division One Men (Reserve),Youth League 1 Men,Youth,Male,2004,0.833333333,18,41.89,18.46,4.06,1.83,5.89,3.02,1.71,0.48,0.0,2.51,0.0,4.34,9.03,20.37,0.443,6.6,14.56,0.453,2.43,5.81,0.418,2.82,3.34,0.844
Craig Jarvis,Craigieburn,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,18,41.89,15.91,3.58,3.02,6.6,2.19,0.79,0.2,0.0,2.43,0.0,2.82,6.4,15.76,0.406,6.01,14.4,0.417,0.4,1.35,0.296,3.5,5.69,0.615
Brett Rainbow,Ringwood,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,8,41.88,14.05,3.22,0.63,3.85,1.43,0.8,0.36,0.0,1.07,0.0,1.79,4.93,11.82,0.417,2.33,4.21,0.553,2.59,7.61,0.34,1.61,2.15,0.749
Tony Burke,Darebin,D2M 2008,Division 2 Men,Senior,Male,2008,0.833333333,18,41.83,16.06,3.43,1.99,5.42,1.84,0.4,0.36,0.36,2.79,2.43,2.19,6.38,16.22,0.393,5.62,12.55,0.448,0.76,3.66,0.208,2.55,3.82,0.668
Scott Roberts,Shepparton,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,41.83,15.51,5.82,2.66,8.48,1.85,0.63,0.69,0.0,2.81,0.0,2.78,6.18,12.22,0.506,5.97,11.71,0.51,0.21,0.51,0.412,2.93,4.15,0.706
Taylor Bell,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,5,41.8,20.67,5.45,1.0,6.46,0.72,0.43,1.15,0.0,2.87,0.0,3.01,7.32,14.35,0.51,4.88,10.05,0.486,2.44,4.31,0.566,3.59,7.18,0.5
Daryl Corletto,Melbourne,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,41.8,17.44,4.09,0.79,4.88,4.49,1.08,0.32,0.0,1.79,0.0,2.66,8.11,18.7,0.434,6.53,13.78,0.474,1.58,4.92,0.321,2.8,3.34,0.838
Jay Allen,Hawthorn,VBL Men Premier Championship,Division 1 Men,Senior,Male,2004,0.833333333,17,41.76,14.5,1.95,0.8,2.74,2.92,1.57,0.25,0.0,1.52,0.0,2.7,7.18,20.29,0.354,5.07,13.99,0.362,2.11,6.29,0.335,2.24,3.21,0.698
Luke Mcmillan,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,21,41.76,22.1,4.96,1.57,6.54,1.13,0.17,0.93,0.68,1.44,4.79,1.65,7.87,14.33,0.549,6.36,10.37,0.613,1.51,3.97,0.38,4.86,5.98,0.813
Cameron Norton,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,16,41.75,6.38,4.13,1.8,5.93,3.73,1.88,0.22,0.0,1.84,0.0,2.87,2.29,5.39,0.425,2.02,4.23,0.478,0.27,1.16,0.233,1.52,3.01,0.505
Brady Walmsey,McKinnon,D2M 2005,Division 2 Men,Senior,Male,2005,0.833333333,15,41.73,14.86,1.49,0.96,2.44,2.3,0.91,0.0,0.0,1.44,0.0,2.35,4.65,12.6,0.369,2.97,7.86,0.378,1.68,4.74,0.354,3.88,5.46,0.711
