Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Luke Goldstein,Male,1,35.0,21.67,11.67,2.5,14.17,1.67,0.0,0.0,0.0,5.0,0.0,3.33,8.33,15.83,0.526,8.33,15.83,0.526,0.0,0.0,,5.0,10.0,0.5
Luke Mcmillan,Male,44,35.61,24.26,6.19,2.22,8.41,1.67,0.34,1.25,0.38,2.22,2.65,2.29,8.92,17.31,0.515,7.73,14.05,0.55,1.19,3.26,0.365,5.23,6.93,0.755
Marcus Johnson,Male,24,35.73,20.31,3.37,0.87,4.24,2.12,1.28,0.35,0.0,2.33,0.0,3.78,7.64,15.62,0.489,6.42,11.81,0.544,1.22,3.82,0.319,3.82,5.21,0.733
Matthew Gange,Male,26,35.99,20.1,5.06,1.89,6.96,2.56,1.51,0.26,0.0,1.83,0.0,2.88,7.15,15.87,0.451,4.49,9.29,0.483,2.66,6.57,0.405,3.14,4.2,0.748
Michelle Betson,Female,20,35.04,14.04,4.12,1.87,6.0,1.96,2.12,0.08,0.0,3.54,0.0,3.83,5.37,15.25,0.352,4.75,12.08,0.393,0.62,3.17,0.196,3.92,6.37,0.615
Mick Hill,Male,43,36.55,29.03,5.39,1.67,7.05,5.02,1.72,0.19,0.0,2.91,0.0,4.19,12.11,25.87,0.468,9.65,19.21,0.502,2.46,6.67,0.369,4.98,6.53,0.763
Mike Spears,Male,22,35.83,19.92,6.97,3.75,10.72,1.63,1.7,2.12,0.0,2.92,0.0,2.35,8.07,16.93,0.477,7.95,16.4,0.485,0.11,0.53,0.208,3.67,5.11,0.718
Mitchell Creek,Male,2,36.25,26.25,7.5,5.83,13.33,3.75,0.83,0.83,0.83,2.92,6.25,5.42,11.25,19.17,0.587,11.25,18.75,0.6,0.0,0.42,0.0,3.75,7.92,0.473
Nathan Crosswell,Male,21,36.98,21.27,3.41,0.87,4.29,6.23,1.75,0.04,0.0,1.98,0.0,3.65,8.29,17.58,0.472,7.5,15.08,0.497,0.79,2.5,0.316,5.48,6.71,0.817
Nathan Sellwood,Male,27,37.13,23.09,3.73,1.64,5.37,4.1,1.73,0.03,0.0,1.3,0.0,2.84,10.03,24.23,0.414,8.09,19.01,0.426,1.94,5.22,0.372,4.97,6.57,0.756
Nathan Taylor,Male,12,36.67,13.82,5.76,1.87,7.64,1.6,0.42,0.56,0.0,2.5,0.0,2.43,5.0,10.83,0.462,3.68,6.74,0.546,1.32,4.1,0.322,2.5,3.47,0.72
Nicole Pavic,Female,19,36.36,25.31,9.47,4.52,13.99,2.02,1.67,2.37,0.0,2.28,0.0,2.59,10.26,28.46,0.361,9.39,25.7,0.365,0.88,2.76,0.319,5.66,8.73,0.648
Patrick Jennings,Male,10,35.25,10.42,3.25,1.25,4.5,2.42,1.33,0.08,0.0,2.17,0.0,2.33,3.42,10.42,0.328,2.08,4.5,0.462,1.33,5.92,0.225,2.25,3.75,0.6
Paul Fridman,Male,21,37.98,12.34,3.61,0.95,4.56,7.82,3.61,0.24,0.0,2.78,0.0,5.67,6.19,20.44,0.303,4.05,12.5,0.324,2.14,7.94,0.27,2.1,2.94,0.714
Peter Leimonitis,Male,18,34.91,21.48,4.72,2.13,6.85,3.52,1.99,0.56,0.0,2.92,0.0,5.05,10.51,23.7,0.443,7.69,16.94,0.454,2.82,6.76,0.417,3.29,3.89,0.846
Sam Belt,Male,22,36.93,22.65,7.39,2.5,9.89,2.77,0.91,0.64,0.8,1.89,3.45,2.35,7.27,18.03,0.403,3.22,6.97,0.462,4.05,11.06,0.366,4.05,5.68,0.713
Scott Dixon,Male,17,35.83,15.44,5.25,2.75,7.99,2.06,1.32,0.64,0.0,2.25,0.0,2.94,5.15,13.09,0.393,3.19,7.7,0.414,1.96,5.39,0.364,3.19,5.15,0.619
Scott Roberts,Male,50,35.22,16.45,7.5,2.88,10.38,2.08,0.82,2.15,0.0,3.05,0.0,3.03,6.55,13.43,0.488,6.37,12.87,0.495,0.18,0.57,0.316,3.3,4.92,0.671
Sean Mccall,Male,2,37.5,25.42,7.5,3.75,11.25,1.67,2.92,1.25,0.0,2.92,0.0,5.0,9.17,20.83,0.44,7.92,15.0,0.528,1.25,5.83,0.214,5.83,9.58,0.609
Sharon Fedke,Female,23,35.83,19.89,7.28,1.52,8.8,1.27,2.17,1.12,0.0,2.75,0.0,2.43,9.31,26.99,0.345,8.01,21.81,0.367,1.3,5.18,0.251,2.57,3.33,0.772
Shaun Bruce,Male,23,35.4,22.9,4.31,1.52,5.83,3.91,1.23,0.47,0.33,2.68,3.84,2.61,8.99,20.76,0.433,7.75,15.94,0.486,1.23,4.82,0.255,3.7,5.18,0.714
Taylor Bell,Male,5,34.83,24.0,6.33,1.17,7.5,0.83,0.5,1.33,0.0,3.33,0.0,3.5,8.5,16.67,0.51,5.67,11.67,0.486,2.83,5.0,0.566,4.17,8.33,0.501
Terrence Watkins,Male,24,35.45,21.6,7.88,3.12,11.01,1.84,1.18,0.8,0.0,2.22,0.0,2.85,10.52,21.08,0.499,8.4,16.98,0.495,2.12,4.1,0.517,3.26,4.37,0.746
Thomas Burns,Male,59,36.31,18.47,4.68,1.44,6.12,4.87,1.94,0.34,0.0,2.43,0.0,4.17,6.47,15.97,0.405,5.37,12.1,0.444,1.1,3.87,0.284,5.0,7.3,0.685
Tim Ireland,Male,2,35.0,11.67,2.5,0.42,2.92,2.92,1.67,0.42,0.0,2.92,0.0,3.75,3.75,11.25,0.333,3.75,9.58,0.391,0.0,1.67,0.0,4.17,6.67,0.625
Tim Pickert,Male,24,35.31,18.58,2.47,1.39,3.85,2.67,1.28,0.17,0.42,2.22,3.96,2.64,6.22,15.28,0.407,4.06,8.44,0.481,2.15,6.84,0.314,3.99,5.31,0.751
Timothy Gainey,Male,35,37.64,17.93,6.71,2.95,9.67,1.76,1.1,1.6,0.76,2.9,3.81,3.52,6.45,16.52,0.39,4.64,10.88,0.426,1.81,5.64,0.321,3.21,4.29,0.748
Tommy Walsh,Male,23,35.25,15.4,2.57,1.78,4.35,1.81,1.09,0.18,0.4,2.36,1.78,2.03,5.83,15.47,0.377,3.66,8.66,0.423,2.17,6.81,0.319,1.56,2.36,0.661
Tony Burke,Male,18,34.86,18.66,3.98,2.31,6.3,2.13,0.46,0.42,0.42,3.24,2.82,2.55,7.41,18.84,0.393,6.53,14.58,0.448,0.88,4.26,0.207,2.96,4.44,0.667
Tracy Tuesley,Female,2,36.25,10.42,8.75,7.92,16.67,0.0,3.33,0.42,0.0,3.75,0.0,7.5,5.0,12.5,0.4,5.0,12.08,0.414,0.0,0.42,0.0,0.42,1.67,0.251
Travis Banko,Male,20,37.25,21.0,3.25,1.42,4.67,3.83,1.96,0.08,0.0,2.33,0.0,6.08,8.67,20.92,0.414,7.58,17.08,0.444,1.08,3.83,0.282,4.75,6.42,0.74
Vashon Weaver,Male,76,36.27,19.14,4.99,2.06,7.05,4.12,1.32,0.43,0.11,2.81,1.18,4.37,7.18,17.37,0.413,6.37,13.91,0.458,0.81,3.45,0.235,4.23,6.34,0.667
Warren Estcourt,Male,1,37.5,2.5,6.67,0.0,6.67,5.83,0.0,0.0,0.0,2.5,0.0,1.67,10.0,26.67,0.375,1.67,7.5,0.223,8.33,19.17,0.435,4.17,5.0,0.834
Willie Weimer,Male,24,35.1,14.13,3.61,1.49,5.1,3.16,0.97,0.17,0.0,2.95,0.0,3.75,5.28,13.75,0.384,3.44,8.16,0.422,1.84,5.59,0.329,1.74,2.67,0.652
