Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Kevin Benn,Western Port,Division Three Men,Division 3 Men,Senior,Male,2008,0.833333333,23,35.65,17.5,9.02,5.54,14.57,1.49,0.58,0.69,0.76,3.37,5.04,4.17,7.36,12.07,0.61,7.36,12.03,0.612,0.0,0.04,0.0,2.79,5.94,0.47
Vashon Weaver,Latrobe City,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,20,35.62,17.75,4.12,2.0,6.12,4.17,1.33,0.46,0.42,2.92,4.5,3.54,6.5,15.96,0.407,5.75,13.04,0.441,0.75,2.92,0.257,4.0,5.87,0.681
Jared Swanson,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,7,35.6,26.55,7.98,2.86,10.83,1.79,1.31,0.12,0.0,2.26,0.0,3.1,10.6,26.31,0.403,9.4,22.26,0.422,1.19,4.05,0.294,4.17,5.83,0.715
Craig Wattie,Echuca,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,21,35.56,21.98,8.69,3.25,11.94,2.54,1.51,0.48,0.0,3.02,0.0,5.56,10.12,23.45,0.432,8.33,18.33,0.454,1.79,5.12,0.35,3.53,5.04,0.7
Scott Roberts,Western Port,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,26,35.54,15.0,8.17,2.69,10.87,2.02,0.9,3.4,0.0,2.85,0.0,2.85,5.96,12.72,0.469,5.83,12.18,0.479,0.13,0.54,0.241,3.21,5.0,0.642
Greg Smith,Hume City,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,18,35.51,15.51,5.14,1.25,6.39,5.56,1.39,0.42,0.0,2.36,0.0,2.73,5.56,13.75,0.404,3.66,7.27,0.503,1.9,6.48,0.293,2.5,3.56,0.702
Terrence Watkins,Sherbrooke,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333,24,35.45,21.6,7.88,3.12,11.01,1.84,1.18,0.8,0.0,2.22,0.0,2.85,10.52,21.08,0.499,8.4,16.98,0.495,2.12,4.1,0.517,3.26,4.37,0.746
Shaun Bruce,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,23,35.4,22.9,4.31,1.52,5.83,3.91,1.23,0.47,0.33,2.68,3.84,2.61,8.99,20.76,0.433,7.75,15.94,0.486,1.23,4.82,0.255,3.7,5.18,0.714
Ivan Platenik,Waverley,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,18,35.37,23.61,7.36,4.49,11.85,1.99,0.93,0.97,1.11,2.5,5.93,2.69,8.94,18.06,0.495,8.89,17.73,0.501,0.05,0.32,0.156,5.69,8.75,0.65
Luke Cooper,Eltham,YL1M 2006,Victorian Youth Championship Men,Youth,Male,2006,0.833333333,10,35.33,12.75,3.17,1.33,4.5,7.33,2.08,0.08,0.0,1.58,0.0,4.42,4.25,9.5,0.447,3.5,6.33,0.553,0.75,3.17,0.237,3.5,5.58,0.627
Cameron Bruce,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,23,35.33,11.27,2.57,0.65,3.22,4.2,2.5,0.11,0.29,2.1,3.51,2.61,4.17,8.88,0.47,3.41,6.2,0.55,0.76,2.68,0.284,2.17,4.53,0.479
Adam Dixon,Sherbrooke,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,21,35.32,22.34,3.93,2.02,5.95,2.94,1.59,0.99,0.0,2.26,0.0,2.66,8.02,15.71,0.511,7.38,13.45,0.549,0.63,2.26,0.279,5.67,7.42,0.764
Tim Pickert,Horsham,Division Two Men,Division 2 Men,Senior,Male,2009,0.833333333,24,35.31,18.58,2.47,1.39,3.85,2.67,1.28,0.17,0.42,2.22,3.96,2.64,6.22,15.28,0.407,4.06,8.44,0.481,2.15,6.84,0.314,3.99,5.31,0.751
Thomas Burns,McKinnon,VBL Division One Men Championship,Division 2 Men,Senior,Male,2004,0.833333333,21,35.28,20.32,4.01,1.19,5.2,4.21,1.75,0.32,0.0,2.1,0.0,3.45,7.06,16.9,0.418,6.27,14.13,0.444,0.79,2.78,0.284,6.98,9.09,0.768
James Tsun,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,19,35.26,14.25,2.89,0.7,3.6,3.9,1.67,0.13,0.0,1.97,0.0,4.3,5.18,15.57,0.333,3.11,7.41,0.42,2.06,8.16,0.252,1.84,3.11,0.592
Tommy Walsh,Western Port,Division Three Men,Division 3 Men,Senior,Male,2008,0.833333333,23,35.25,15.4,2.57,1.78,4.35,1.81,1.09,0.18,0.4,2.36,1.78,2.03,5.83,15.47,0.377,3.66,8.66,0.423,2.17,6.81,0.319,1.56,2.36,0.661
