Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Alex Brown,Male,36,14.0,2.4,1.2,0.5,1.6,0.7,0.6,0.2,0.1,2.1,1.1,1.6,0.9,3.4,26.5,0.7,2.1,33.3,0.2,1.3,15.4,0.3,0.6,50.0
Alex Darby,Female,100,19.4,8.5,2.6,1.3,4.0,1.7,1.3,0.2,0.4,1.5,2.3,1.8,3.0,8.4,35.7,2.5,6.3,39.7,0.5,2.1,23.8,1.9,2.9,65.5
Alex Dimitroff,Male,23,25.0,6.3,2.1,1.5,3.6,2.2,1.1,0.3,0.0,4.2,0.0,2.3,2.2,7.3,30.1,2.0,6.4,31.2,0.2,0.9,22.2,1.8,3.8,47.4
Alex Doddridge,Female,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Dujanovski,Male,1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Formosa,Male,27,7.9,2.0,0.9,0.4,1.3,0.6,0.6,0.1,0.1,1.4,0.7,0.9,0.6,2.5,24.0,0.4,1.3,30.8,0.2,1.2,16.7,0.5,1.0,50.0
Alex Franklin,Male,45,9.0,2.0,0.8,0.4,1.2,0.6,0.3,0.1,0.1,0.7,0.6,1.1,0.7,2.3,30.4,0.5,1.6,31.2,0.1,0.7,14.3,0.5,0.9,55.6
Alex Gallatly,Female,8,6.9,1.6,0.6,0.1,0.8,0.5,0.4,0.0,0.0,0.2,0.4,0.6,0.8,1.9,42.1,0.8,1.8,44.4,0.0,0.1,0.0,0.1,0.5,20.0
Alex Godina,Male,175,17.9,5.7,2.9,0.8,3.7,1.1,0.4,0.2,0.2,2.5,1.7,1.5,2.0,5.2,38.5,1.3,3.3,39.4,0.6,1.9,31.6,1.1,1.9,57.9
Alex Hollingsworth,Male,19,13.0,3.2,1.2,0.6,1.8,0.7,0.7,0.0,0.2,1.5,1.1,1.6,1.3,4.3,30.2,1.1,3.2,34.4,0.2,1.2,16.7,0.4,0.6,66.7
Alex Hossack,Male,7,2.9,0.6,0.9,0.3,1.1,0.3,0.0,0.1,0.0,0.9,0.0,0.9,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.9,66.7
Alex Jackson,Male,30,7.5,1.1,0.6,0.6,1.2,0.3,0.2,0.0,0.1,0.8,0.9,1.3,0.4,2.1,19.0,0.3,1.4,21.4,0.1,0.7,14.3,0.3,0.9,33.3
Alex Lemons,Male,29,25.4,10.3,4.9,3.1,8.1,1.3,1.7,1.6,0.1,2.3,2.0,1.2,4.4,8.1,54.3,4.2,7.3,57.5,0.2,0.8,25.0,1.4,2.1,66.7
Alex Lockhart,Male,17,9.4,2.8,0.9,0.6,1.5,0.6,0.4,0.1,0.0,1.5,0.0,1.2,0.9,1.8,50.0,0.9,1.7,52.9,0.0,0.1,0.0,0.9,1.8,50.0
Alex Lough,Female,328,28.4,12.8,5.8,2.9,8.7,1.7,1.0,0.6,0.3,3.0,1.4,2.4,5.2,12.8,40.6,5.1,12.2,41.8,0.1,0.6,16.7,2.2,3.7,59.5
Alex Marconi,Male,6,9.8,2.0,3.0,1.2,4.2,0.3,0.8,0.3,0.2,1.5,1.3,2.2,0.7,3.8,18.4,0.5,2.7,18.5,0.2,1.2,16.7,0.5,1.3,38.5
Alex Mihreteab,Male,2,19.0,13.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,4.0,6.0,14.0,42.9,5.0,11.0,45.5,1.0,3.0,33.3,0.0,3.0,0.0
Alex Miriklis,Female,26,5.6,0.9,0.3,0.6,0.9,0.2,0.1,0.0,0.0,0.3,0.0,0.3,0.3,0.9,33.3,0.3,0.7,42.9,0.0,0.2,0.0,0.2,0.4,50.0
Alex Newstead,Male,209,18.4,5.9,2.0,0.5,2.5,0.6,0.4,0.1,0.1,1.4,0.7,0.8,2.4,6.3,38.1,1.8,4.6,39.1,0.6,1.7,35.3,0.6,0.9,66.7
Alex Norton,Male,9,5.6,1.6,0.7,0.6,1.2,0.2,0.0,0.0,0.1,0.2,0.2,0.4,0.7,2.2,31.8,0.6,1.7,35.3,0.1,0.6,16.7,0.1,0.4,25.0
Alex Pineau,Female,2,24.0,5.0,3.5,3.0,6.5,0.0,0.0,0.0,0.5,2.5,2.5,4.0,2.0,11.0,18.2,2.0,9.5,21.1,0.0,1.5,0.0,1.0,3.5,28.6
Alex Rizzato,Male,12,6.0,1.4,1.4,0.8,2.2,0.0,0.2,0.1,0.2,0.8,0.3,0.3,0.6,1.2,50.0,0.6,1.2,50.0,0.0,0.0,0.0,0.2,0.2,100.0
