Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Daryl Corletto,Melbourne,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,16,42.06,23.62,4.81,0.81,5.62,4.12,1.19,0.06,0.0,1.56,0.0,2.44,8.75,21.56,0.406,5.5,11.44,0.481,3.25,10.12,0.321,2.88,4.0,0.72
Michelle Betson,Sunbury,VBL Premier - Women,Division 1 Women,Senior,Female,2002,0.833333333,20,42.05,16.85,4.95,2.25,7.2,2.35,2.55,0.1,0.0,4.25,0.0,4.6,6.45,18.3,0.352,5.7,14.5,0.393,0.75,3.8,0.197,4.7,7.65,0.614
Jonathon Lee,Bulleen,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,42.04,15.79,3.5,1.0,4.5,5.08,2.71,0.12,0.0,2.71,0.0,4.58,6.04,16.25,0.372,5.25,13.08,0.401,0.79,3.17,0.249,2.92,4.79,0.61
Luke Goldstein,Maccabi,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,42.0,26.0,14.0,3.0,17.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,10.0,19.0,0.526,10.0,19.0,0.526,0.0,0.0,,6.0,12.0,0.5
Josh Smith,Bulleen,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,22,42.0,25.86,5.23,1.68,6.91,3.68,1.59,0.09,0.0,2.45,0.0,4.36,8.45,23.32,0.362,5.64,13.09,0.431,2.82,10.23,0.276,6.14,8.73,0.703
Tim Ireland,Hume City,Youth League 2 Men,Youth League 1 Men,Youth,Male,2006,0.833333333,2,42.0,14.0,3.0,0.5,3.5,3.5,2.0,0.5,0.0,3.5,0.0,4.5,4.5,13.5,0.333,4.5,11.5,0.391,0.0,2.0,0.0,5.0,8.0,0.625
Harry White,Oakleigh,Division Two Men,Division 2 Men,Senior,Male,2015,1.0,1,42.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,0.75
Peter Leimonitis,Coburg,VBL Division One Men (Reserve),Youth League 1 Men,Youth,Male,2004,0.833333333,18,41.89,25.78,5.67,2.56,8.22,4.22,2.39,0.67,0.0,3.5,0.0,6.06,12.61,28.44,0.443,9.22,20.33,0.454,3.39,8.11,0.418,3.94,4.67,0.844
Craig Jarvis,Craigieburn,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,18,41.89,22.22,5.0,4.22,9.22,3.06,1.11,0.28,0.0,3.39,0.0,3.94,8.94,22.0,0.406,8.39,20.11,0.417,0.56,1.89,0.296,4.89,7.94,0.616
Brett Rainbow,Ringwood,SCM 2006,Championship Men,Senior,Male,2006,0.833333333,8,41.88,19.62,4.5,0.88,5.38,2.0,1.12,0.5,0.0,1.5,0.0,2.5,6.88,16.5,0.417,3.25,5.88,0.553,3.62,10.62,0.341,2.25,3.0,0.75
Tony Burke,Darebin,D2M 2008,Division 2 Men,Senior,Male,2008,0.833333333,18,41.83,22.39,4.78,2.78,7.56,2.56,0.56,0.5,0.5,3.89,3.39,3.06,8.89,22.61,0.393,7.83,17.5,0.447,1.06,5.11,0.207,3.56,5.33,0.668
Scott Roberts,Shepparton,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,24,41.83,21.62,8.12,3.71,11.83,2.58,0.88,0.96,0.0,3.92,0.0,3.88,8.62,17.04,0.506,8.33,16.33,0.51,0.29,0.71,0.408,4.08,5.79,0.705
Taylor Bell,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,5,41.8,28.8,7.6,1.4,9.0,1.0,0.6,1.6,0.0,4.0,0.0,4.2,10.2,20.0,0.51,6.8,14.0,0.486,3.4,6.0,0.567,5.0,10.0,0.5
Daryl Corletto,Melbourne,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,41.8,24.3,5.7,1.1,6.8,6.25,1.5,0.45,0.0,2.5,0.0,3.7,11.3,26.05,0.434,9.1,19.2,0.474,2.2,6.85,0.321,3.9,4.65,0.839
Jay Allen,Hawthorn,VBL Men Premier Championship,Division 1 Men,Senior,Male,2004,0.833333333,17,41.76,20.18,2.71,1.12,3.82,4.06,2.18,0.35,0.0,2.12,0.0,3.76,10.0,28.24,0.354,7.06,19.47,0.363,2.94,8.76,0.336,3.12,4.47,0.698
Luke Mcmillan,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,21,41.76,30.76,6.9,2.19,9.1,1.57,0.24,1.29,0.95,2.0,6.67,2.29,10.95,19.95,0.549,8.86,14.43,0.614,2.1,5.52,0.38,6.76,8.33,0.812
Cameron Norton,Shepparton,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,16,41.75,8.88,5.75,2.5,8.25,5.19,2.62,0.31,0.0,2.56,0.0,4.0,3.19,7.5,0.425,2.81,5.88,0.478,0.38,1.62,0.235,2.12,4.19,0.506
Brady Walmsey,McKinnon,D2M 2005,Division 2 Men,Senior,Male,2005,0.833333333,15,41.73,20.67,2.07,1.33,3.4,3.2,1.27,0.0,0.0,2.0,0.0,3.27,6.47,17.53,0.369,4.13,10.93,0.378,2.33,6.6,0.353,5.4,7.6,0.711
